"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"kt_funds_small_second","numeric",1041,0.51872399445215,110,25.4610951008646,0,0,NA,42.863318933016,NA,0,350,350,2.89159473646174,19.0713595034217,12.3060930854503,40.6207948656161,NA,NA
"kt_funds_award","numeric",1041,0.51872399445215,39,5.61287223823247,0,0,NA,14.3672633867095,NA,0,273,273,9.10149899415852,60.0284532091879,136.211326595484,449.615675551028,NA,NA
"kt_funds_first_ecr","numeric",1041,0.51872399445215,176,70.9593339419846,50,50,NA,80.722620983327,NA,0,900,900,3.23231119650707,21.3185368192197,20.7945775420049,68.6401657118635,NA,NA
"kt_funds_rolling_ecr","numeric",1041,0.51872399445215,295,179.641690682037,151,151,NA,132.414433004518,NA,0,800,800,1.02918973000361,6.78796620101263,1.37212235392522,4.52919543857674,NA,NA
"kt_funds_rolling_senior","numeric",1041,0.51872399445215,232,97.3591898790812,85,85,NA,90.9771388818044,NA,0,550,550,1.39910419144458,9.22771738422573,2.62858383785805,8.67660955620005,NA,NA
"funds_spent","numeric",1041,0.51872399445215,166,621.74206346554,550,550,NA,245.848751619412,NA,0,1236.91271972656,1236.91271972656,-0.236972290451938,-1.56293815539595,-0.765837775517998,-2.52792977947134,NA,NA
"id","integer",2163,0,2163,1090.40822931114,1092,1092,NA,628.948172850563,NA,1,2177,2176,-0.00472241883865863,-0.044862969373782,-1.19972984423082,-5.70134104592777,NA,NA
"applied_grant","numeric",1045,0.516874711049468,3,0.875598086124402,1,1,NA,0.33019753636748,NA,0,1,1,-2.27281321506248,-15.0189083906501,3.16871491995749,10.4794915759264,NA,NA
"got_grant","numeric",915,0.576976421636616,3,0.889617486338798,1,1,NA,0.313537321877803,NA,0,1,1,-2.48258594892254,-15.3539277789554,4.16779153917919,12.9021382629405,NA,NA
"quit_ever","integer",2163,0,2,0.885344429033749,1,1,NA,0.318679498488494,NA,0,1,1,-2.41726423002655,-22.9640052746408,3.84494459694557,18.2718972569515,NA,NA
"success_chance","character",1041,0.51872399445215,4,NA,NA,1122,NA,NA,0.643781703287222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invested_time","character",1041,0.51872399445215,4,NA,NA,1122,NA,NA,0.664339413535902,NA,NA,NA,NA,NA,NA,NA,NA,NA
"funds_available","numeric",2163,0,3,653.767914932963,550,550,NA,213.573610477,NA,400,900,500,0.144673769133577,1.37440051286786,-1.72327400960817,-8.18932103056805,NA,NA
"kt_personal_senior","numeric",1041,0.51872399445215,201,0.0536735510726865,0.0333333333333333,0.0333333333333333,NA,0.0706441686898197,NA,0,0.388888888888889,0.388888888888889,2.0213264848544,13.3315514723949,5.10574186786442,16.8533824351222,NA,NA
"kt_team","numeric",1041,0.51872399445215,231,0.0618582316925256,0.0511111111111111,0.0511111111111111,NA,0.0665816748656163,NA,0,0.388888888888889,0.388888888888889,1.39348953637701,9.19068622493804,2.66590332503541,8.79979627538015,NA,NA
"kt_personal_ecr","numeric",1041,0.51872399445215,222,0.0574403982184962,0.0466666666666667,0.0466666666666667,NA,0.0618351596849566,NA,0,0.388888888888889,0.388888888888889,1.79668933946505,11.8499691111042,4.87500156758019,16.0917390492,NA,NA
"kt_thematic","numeric",1041,0.51872399445215,256,0.0871181313616472,0.0555555555555556,0.0555555555555556,NA,0.105993427288384,NA,0,0.7375,0.7375,1.47969738171598,9.75926549012465,3.03531552621791,10.0191773690297,NA,NA
"kt_thematic_co","numeric",1041,0.51872399445215,203,0.0504057869763922,0,0,NA,0.0830918718596265,NA,0,0.673333333333333,0.673333333333333,2.40735048087741,15.8775522353201,8.72329778793421,28.7944587721596,NA,NA
"kt_small_first","numeric",1041,0.51872399445215,212,0.0564699138988014,0.0363636363636364,0.0363636363636364,NA,0.0698241050723976,NA,0,0.388888888888889,0.388888888888889,1.86081099785582,12.2728801033349,4.57986521153547,15.1175327521217,NA,NA
"kt_small_second","numeric",1041,0.51872399445215,172,0.0384856004812777,0,0,NA,0.0611757005967488,NA,0,0.388888888888889,0.388888888888889,2.46544969761006,16.2607425334639,8.10947385561178,26.768306697302,NA,NA
"kt_award","numeric",1041,0.51872399445215,78,0.00901738324648987,0,0,NA,0.0209140620830829,NA,0,0.303333333333333,0.303333333333333,6.3490967478206,41.8751303814645,64.1724533198741,211.824828906252,NA,NA
"kt_first_ecr","numeric",1041,0.51872399445215,277,0.108977115001743,0.0909090909090909,0.0909090909090909,NA,0.112931223267005,NA,0,1,1,2.43356143408509,16.0504251850623,11.547356247854,38.1163043483595,NA,NA
"kt_rolling_ecr","numeric",1041,0.51872399445215,411,0.2726828321641,0.262222222222222,0.262222222222222,NA,0.169442471762099,NA,0,1,1,0.448688941272947,2.95930408100577,0.302443123442578,0.99832497532482,NA,NA
"kt_rolling_senior","numeric",1041,0.51872399445215,339,0.150003798387852,0.1275,0.1275,NA,0.12451612474497,NA,0,1,1,0.95676330703091,6.31028157507178,2.0170737258663,6.65809509795694,NA,NA
